,acc,rec,pre,f1,mcc,auc
AMP,0.749,0.822,0.71,0.762,0.506,0.79
TXP,0.846,0.691,0.646,0.668,0.568,0.875
ABP,0.732,0.82,0.332,0.473,0.396,0.827
AIP,0.89,0.698,0.605,0.648,0.585,0.915
AVP,0.87,0.583,0.519,0.549,0.475,0.804
ACP,0.884,0.506,0.35,0.414,0.359,0.775
AFP,0.826,0.534,0.213,0.305,0.257,0.808
DDV,0.929,0.458,0.397,0.425,0.389,0.887
CPP,0.939,0.7,0.427,0.53,0.517,0.916
CCC,0.967,0.724,0.447,0.553,0.553,0.969
APP,0.978,0.071,0.091,0.08,0.069,0.651
AAP,0.978,0.385,0.25,0.303,0.299,0.824
AHTP,0.982,0.5,0.167,0.25,0.282,0.879
PBP,0.987,0.667,0.375,0.48,0.494,0.947
QSP,0.983,0.333,0.133,0.19,0.204,0.901
