,acc,rec,pre,f1,mcc,auc
AMP,0.724375,0.675,0.739125,0.704125,0.44725,0.7226249999999999
TXP,0.822125,0.6217499999999999,0.631375,0.6233749999999999,0.508,0.753375
ABP,0.778,0.534125,0.5361250000000001,0.532125,0.38850000000000007,0.69325
AIP,0.873,0.696125,0.6648750000000001,0.6746249999999999,0.5997500000000001,0.8048749999999998
AVP,0.848625,0.38825,0.469375,0.416375,0.33749999999999997,0.65625
ACP,0.879875,0.31587499999999996,0.41325,0.35300000000000004,0.29412499999999997,0.6315000000000001
AFP,0.83775,0.228375,0.243875,0.34962499999999996,0.14225000000000002,0.572375
DDV,0.951375,0.41300000000000003,0.6091249999999999,0.47437500000000005,0.469125,0.697875
CPP,0.949375,0.442125,0.5138750000000001,0.46775,0.446875,0.7096250000000001
CCC,0.979375,0.536375,0.6875,0.5631250000000001,0.5772499999999999,0.76425
APP,0.970875,0.0,0.0,0.5,-0.008,0.56
AAP,0.98525,0.075,0.125,0.21875,0.096,0.725
AHTP,0.988125,0.5,0.29575,0.59825,0.36724999999999997,0.9329999999999999
PBP,0.9911249999999999,0.1875,0.125,0.520875,0.148125,0.71675
QSP,0.996,0.25,0.25,0.625,0.25,0.8125
