,acc,rec,pre,f1,mcc,auc
AMP,0.48825,1.0,0.48825,0.64965625,0.0,0.4890937500000001
TXP,0.7752812499999999,0.0,0.0,0.0,0.0,0.67215625
ABP,0.85346875,0.0,0.0,0.0,0.0,nan
AIP,0.8544375,0.0,0.0,0.0,0.0,nan
AVP,0.86428125,0.0,0.0,0.0,0.0,nan
ACP,0.919125,0.0,0.0,0.0,0.0,nan
AFP,0.9288124999999999,0.0,0.0,0.0,0.0,nan
DDV,0.9426249999999999,0.0,0.0,0.0,0.0,nan
CPP,0.951375,0.0,0.0,0.0,0.0,nan
CCC,0.9719062500000001,0.0,0.0,0.0,0.0,nan
APP,0.9864375,0.0,0.0,0.0,0.0,nan
AAP,0.98740625,0.0,0.0,0.0,0.0,nan
AHTP,0.9941875000000001,0.0,0.0,0.0,0.0,nan
PBP,0.9912812500000001,0.0,0.0,0.0,0.0,nan
QSP,0.9941875000000001,0.0,0.0,0.0,0.0,nan
